[14:35:28] [main/INFO]: ModLauncher running: args [--username, Yuu144Y, --version, forge-47.3.0, --gameDir, C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft, --assetsDir, C:\Users\Yuu14\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 0fffc02a5c5649299daea19b9ee969a0, --accessToken, ????????, --clientId, MzhlZmZiMGItZGU3MC00NDQ1LTkwOGItNjVhY2I3YmY2ZWI5, --xuid, 2535408374808481, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\Yuu14\curseforge\minecraft\Install\quickPlay\java\1739712926884.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14:35:28] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14:35:29] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[14:35:29] [main/INFO]: Trying GL version 4.6
[14:35:30] [main/INFO]: Requested GL version 4.6 got version 4.6
[14:35:30] [main/INFO]: Mixin Transmogrifier is definitely up to no good...
[14:35:30] [main/INFO]: crimes against java were committed
[14:35:30] [main/INFO]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[14:35:30] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Yuu14/curseforge/minecraft/Instances/144Craft/mods/Connector-1.0.0-beta.46+1.20.1.jar%23384%23387!/ Service=ModLauncher Env=CLIENT
[14:35:30] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3070 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.36, NVIDIA Corporation
[14:35:30] [main/INFO]: Found mod file Connector-1.0.0-beta.46+1.20.1-mod.jar of type MOD with provider org.sinytra.connector.locator.ConnectorEarlyLocator@3e4f80cb
[14:35:30] [main/INFO]: Found mod file [forge]ctov-3.4.10.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Ad-Astra-Giselle-Addon-forge-1.20.1-6.16.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.19.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file adastraextra-forge-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file AE2-Things-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ae2ct-1.20.1-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ae2wtlib-15.2.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file alexscaves-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file alexsmobs-1.22.9.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
